X,Y
20.361,-0.271
20.375,-0.638
20.375,-0.624
20.375,-0.271
20.375,-0.299
20.388,-0.652
20.388,-0.638
20.388,-0.299
20.388,-0.339
20.402,-0.339
20.402,-0.367
20.524,-0.638
20.524,-0.652
20.605,-0.624
20.605,-0.638
20.66,-0.611
20.66,-0.624
20.728,-0.597
20.728,-0.611
20.741,-0.367
20.741,-0.38
20.741,-0.57
20.741,-0.597
20.755,-0.38
20.755,-0.394
20.755,-0.543
20.755,-0.57
20.768,-0.394
20.768,-0.407
20.768,-0.516
20.768,-0.543
20.782,-0.407
20.782,-0.421
20.782,-0.489
20.782,-0.516
20.796,-0.421
20.796,-0.434
20.796,-0.462
20.796,-0.489
20.809,-0.448
20.809,-0.462
20.823,-0.434
20.823,-0.421
20.823,-0.434
20.823,-0.448
20.877,-0.421
20.877,-0.434
20.877,-0.421
20.877,-0.407
20.904,-0.407
20.904,-0.421
20.904,-0.407
20.904,-0.271
20.918,-0.271
20.918,-0.231
20.931,-0.231
20.931,-0.204
20.945,-0.204
20.945,-0.19
20.958,-0.19
20.958,-0.176
20.999,-0.394
20.999,-0.407
21.067,-0.176
21.067,-0.19
21.081,-0.19
21.081,-0.204
21.094,-0.204
21.094,-0.217
21.108,-0.217
21.108,-0.231
21.121,-0.231
21.121,-0.244
21.135,-0.244
21.135,-0.258
21.148,-0.258
21.148,-0.271
21.162,-0.271
21.162,-0.285
21.162,-0.38
21.162,-0.394
21.176,-0.285
21.176,-0.299
21.176,-0.367
21.176,-0.38
21.189,-0.299
21.189,-0.312
21.189,-0.339
21.189,-0.367
21.203,-0.326
21.203,-0.339
21.243,-6.326
21.243,-6.298
21.257,-6.298
21.257,-6.326
21.257,-6.298
21.257,-6.244
21.271,-6.244
21.271,-6.298
21.271,-6.244
21.271,-6.203
21.284,-6.203
21.284,-6.244
21.284,-6.203
21.284,-6.176
21.298,-6.176
21.298,-6.203
21.298,-6.176
21.298,-6.122
21.311,-6.122
21.311,-6.176
21.311,-6.122
21.311,-6.095
21.325,-6.095
21.325,-6.122
21.325,-6.095
21.325,-6.068
21.325,-5.538
21.325,-5.525
21.338,-6.068
21.338,-6.095
21.338,-6.068
21.338,-6.04
21.352,-6.04
21.352,-6.068
21.352,-6.04
21.352,-6.013
21.366,-6.013
21.366,-6.04
21.366,-6.013
21.366,-5.945
21.379,-5.945
21.379,-6.013
21.379,-5.945
21.379,-5.932
21.393,-5.932
21.393,-5.945
21.393,-5.932
21.393,-5.918
21.393,-5.552
21.393,-5.538
21.393,-5.525
21.393,-5.538
21.406,-5.918
21.406,-5.932
21.406,-5.918
21.406,-5.905
21.406,-5.565
21.406,-5.552
21.406,-5.538
21.406,-5.552
